[2026-03-18 07:50:43 +0000] [4172] [INFO] Starting gunicorn 25.1.0
[2026-03-18 07:50:43 +0000] [4172] [INFO] Listening at: http://127.0.0.1:8082 (4172)
[2026-03-18 07:50:43 +0000] [4172] [INFO] Using worker: sync
[2026-03-18 07:50:43 +0000] [4172] [INFO] Control socket listening at /home/henry/Documents/Haskell/Year-4-Individual-Project/webserver/comparison_baselines/flask/gunicorn.ctl
[2026-03-18 07:50:43 +0000] [4261] [INFO] Booting worker with pid: 4261
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
127.0.0.1 - - [18/Mar/2026:07:52:46 +0000] "GET /json HTTP/1.1" 200 1024 "-" "-"
